yo,gen_hi
Heya,gen_hi
Namaste,gen_hi
Hey,gen_hi
Great to see you!,gen_hi
Ssup,gen_hi
Whatup,gen_hi
Yo,gen_hi
hello,gen_hi
Howdy,gen_hi
hey there,gen_hi
Hey There!,gen_hi
Hello!,gen_hi
Hey there,gen_hi
Hey buddy !,gen_hi
Hi need support ,gen_hi
Hii,gen_hi
Heyo,gen_hi
Hello!,gen_hi
Hello there!,gen_hi
Hello There! ,gen_hi
Yo,gen_hi
Hii,gen_hi
what's up,gen_how_you
What's up,gen_how_you
Wassup,gen_how_you
How are you doing,gen_how_you
How's life treating you?,gen_how_you
How is life?,gen_how_you
How ya doin,gen_how_you
Sup,gen_how_you
how you doing?,gen_how_you
How do you do,gen_how_you
sup ?,gen_how_you
How do you do?,gen_how_you
How have you been?,gen_how_you
How are you doing,gen_how_you
I am great ! Thank you ! ,gen_how_you
Wassup,gen_how_you
How are you?,gen_how_you
What's new?,gen_how_you
How you doin?,gen_how_you
Wassup,gen_how_you
Okayisk,gen_how_you
who are you?,gen_who_you
What're you?,gen_who_you
Who am I talking to?,gen_who_you
Who are you?,gen_who_you
May I know the Identity of this person?,gen_who_you
What do you do here,gen_who_you
Who you,gen_who_you
who are u ?,gen_who_you
whats your name ?,gen_who_you
thou shall reveal yourself,gen_who_you
May I get your name pls?,gen_who_you
What do they call you,gen_who_you
Have I met you anywhere ?,gen_who_you
How abt you ,gen_who_you
Me! It�s me !,gen_who_you
Who dis,gen_who_you
May I know who you are?,gen_who_you
How can you help me?,gen_who_you
What's your name?,gen_who_you
Do I know u,gen_who_you
Me! It�s me !,gen_who_you
u a bot?,gen_bot
Are you an AI?,gen_bot
"You are a bot, aren't you?",gen_bot
Are you a bot,gen_bot
Are you a man made,gen_bot
"Say, you wouldn�t happen to be a bot would you?",gen_bot
Are you a computer?,gen_bot
am i talking to a bot?,gen_bot
You sound like a bot.,gen_bot
Are you real ? ,gen_bot
are you not a human?,gen_bot
Are you a bot perhaps?,gen_bot
Are you a robot,gen_bot
"You sound like a bot , are you ? ",gen_bot
R u robot,gen_bot
Are you a bot,gen_bot
Are you a bot?,gen_bot
Are you a robot?,gen_bot
Are you a bot?,gen_bot
Stupid bot,gen_bot
u a human?,gen_human
Are you a homo sapien?,gen_human
"I don't think you're a human, are you?",gen_human
Are you human,gen_human
"""What shape is created by straightening all your fingers, curling all fingers except thumb toward your palm on both hands, and putting your hands together so all fingers on one hand touch the respective finger on the other the hand",gen_human
Are you a living being,gen_human
Are you a person,gen_human
Do you have feelings?,gen_human
are you a person?,gen_human
"you're not a human, are you?",gen_human
are you flesh?,gen_human
"If you don't mind me asking, are you human?",gen_human
Are you one of us,gen_human
I don�t think you are a human or are you ?,gen_human
Or u r human,gen_human
hooman.?,gen_human
Are you human?,gen_human
Are you a person or a bot?,gen_human
"Humans amuse me, are you one?",gen_human
You're not human,gen_human
More than,gen_human
who made you?,gen_who_made
Who're your parents?,gen_who_made
Who created you?,gen_who_made
Who is your creator,gen_who_made
May i know the identity of you're creator/creators?,gen_who_made
What kind of organism are you,gen_who_made
Who art thy creator,gen_who_made
Who�re you�re parents,gen_who_made
who made you?,gen_who_made
who created you?,gen_who_made
who owns you ?,gen_who_made
who is your owner?,gen_who_made
Who is your creator?,gen_who_made
Who is your creator,gen_who_made
Who is your creator ? ,gen_who_made
Who made you ,gen_who_made
What master do you serve,gen_who_made
Who created you?,gen_who_made
Who created you? ,gen_who_made
Who made you?,gen_who_made
Bot specs,gen_who_made
That handsome guy named Harsh,gen_who_made
plis help,gen_help
Can I get some help?,gen_help
I want some help. Can you help me?,gen_help
Can you help me,gen_help
"If its not too much to ask , can you assist me?",gen_help
I need help,gen_help
I�m having a problem ,gen_help
I need a favour ,gen_help
can u help me?,gen_help
can you be of any help to me?,gen_help
would you help me ?,gen_help
could you please help me out here?,gen_help
I got a problem. Some help would be nice.,gen_help
Can you do me a favor,gen_help
Are you able to help me ?,gen_help
Need your help,gen_help
Can you help me ?,gen_help
Can you help me?,gen_help
I need assistance,gen_help
Please help me?,gen_help
Save me,gen_help
I am made for that,gen_help
quick question?,gen_query
Hey I had a question,gen_query
I have a question,gen_query
I wanted to ask something,gen_query
"i have a doubt lingering in my head, do you mind clarifying it for me ?",gen_query
I have a doubt,gen_query
Got a question for you,gen_query
I didn�t understand this,gen_query
i have doubt,gen_query
i might have a query,gen_query
i have a question to ask,gen_query
Actually I have some questions.,gen_query
I have a question,gen_query
I have a question ! ,gen_query
I can�t understand ,gen_query
I have a question,gen_query
I have a query,gen_query
I have some doubts,gen_query
Can you solve my doubt?,gen_query
Could u answer my doubts,gen_query
Go ahead ,gen_query
what is VIT,VIT_what
Can you tell me about VIT,VIT_what
What is VIT?,VIT_what
What is VIT,VIT_what
May i know what VIT stands for?,VIT_what
What is VIT,VIT_what
What even is VIT,VIT_what
Who is VIT,VIT_what
what is VIT basically,VIT_what
what is VIT,VIT_what
VIT who ?,VIT_what
what is VIT?,VIT_what
What exactly is VIT,VIT_what
What is this website,VIT_what
I want to know something about VIT,VIT_what
What is VIT,VIT_what
What is VIT,VIT_what
Can you tell me what VIT is ?,VIT_what
Explain about VIT,VIT_what
What is VIT and what is it about?,VIT_what
VIT?,VIT_what
My parents ,VIT_what
what does VIT do,VIT_what_does
What do you guys do,VIT_what_does
Does VIT do something?,VIT_what_does
What does VIT do,VIT_what_does
what is the objective of VIT?,VIT_what_does
What do you do,VIT_what_does
What do they do,VIT_what_does
What do you do at VIT,VIT_what_does
what does VIT do,VIT_what_does
what do the people who created you do?,VIT_what_does
what do they do?,VIT_what_does
What does the chapter contribute to?,VIT_what_does
What does VIT do,VIT_what_does
I want to know what VIT does !,VIT_what_does
What it does,VIT_what_does
What are VIT's functions,VIT_what_does
What does VIT do?,VIT_what_does
Tell me how VIT works ,VIT_what_does
What does VIT do?,VIT_what_does
What's VIT actually do,VIT_what_does
Makes me,VIT_what_does
are all VIT's in vit same?,VIT_other_linked
Are clubs like VIT Cs branches of you guys?,VIT_other_linked
Is VIT and VIT-WIE the same?,VIT_other_linked
Are other VITs in vit linked to you in any way,VIT_other_linked
is there any difference between the various VIT or does all the VIT belong under one main Organization?,VIT_other_linked
There are many VIT in VIT are they the same?,VIT_other_linked
Do the other VITs in VIT have anything to do with you,VIT_other_linked
Is this the same VIT which i see in other colleges,VIT_other_linked
are other VIT chapters are way linked to you,VIT_other_linked
are all VITs in VIT headed by you?,VIT_other_linked
is VIT-WIE part of VIT ?,VIT_other_linked
are VIT-CS and VIT same?,VIT_other_linked
"There are so many VITs in VIT, are all of these linked to each other?",VIT_other_linked
Is the other VITs of VIT connected to this,VIT_other_linked
Are all VITs from VIT are interlinked ?,VIT_other_linked
Ais this  linked to vit,VIT_other_linked
Are the other VITs with specialisations linked to VIT,VIT_other_linked
Are other VIT chapters in VIT linked to yours?,VIT_other_linked
Does VIT have different branches? ,VIT_other_linked
What about the VIT offshoots,VIT_other_linked
how are other college VIT linked to you,VIT_other_college
Do you guys have any connection to other VITs,VIT_other_college
Does VIT VIT work with other VITs around the world?,VIT_other_college
How are VIT's in other colleges linked to you,VIT_other_college
is there connections with various VITs across the world?,VIT_other_college
Are different VITs linked,VIT_other_college
Do you have anything to do with VITs in other colleges ,VIT_other_college
How are you connected to the other VITs,VIT_other_college
how many other college VIT are linked to you guys,VIT_other_college
what is the relation between VITs of other colleges and VIT's?,VIT_other_college
VIT-srm and VIT-VIT same?,VIT_other_college
How does VIT VIT vellore communicate with VIT in other colleges?,VIT_other_college
Does VIT of other colleges connected to you,VIT_other_college
Are VITs from other colleges are linked with your�s?,VIT_other_college
How they are linked,VIT_other_college
How are VIT chapters across colleges connected ?,VIT_other_college
How are the VITs of other colleges linked to yours?,VIT_other_college
Do you have links with VITs outside VIT? ,VIT_other_college
How VIT of other colleges are linked with the VIT in VIT?,VIT_other_college
What about the other colleges versions,VIT_other_college
since when has VIT been there,VIT_how_long
How old is this chapter,VIT_how_long
When was VIT established?,VIT_how_long
How long has VIT been around,VIT_how_long
when was VIT created?,VIT_how_long
How old are you,VIT_how_long
How old is VIT,VIT_how_long
